waktu,sensor_id,lokasi,ch4,h2s,suhu,kelembaban
2026-06-05 13:45:00,GS001,Area Dasar Tambang,2.117,17.656,34.727,70.579
2026-06-05 13:50:00,GS001,Area Dasar Tambang,1.847,13.778,32.748,75.152
2026-06-05 13:55:00,GS001,Area Dasar Tambang,1.374,10.399,30.92,74.872
2026-06-05 14:00:00,GS001,Area Dasar Tambang,1.037,7.185,34.238,72.71
2026-06-05 14:05:00,GS001,Area Dasar Tambang,0.745,4.801,32.332,77.514
2026-06-05 14:10:00,GS001,Area Dasar Tambang,0.404,1.91,31.745,74.179
2026-06-05 14:15:00,GS001,Area Dasar Tambang,0.546,3.343,31.454,78.796
2026-06-05 14:20:00,GS001,Area Dasar Tambang,0.68,3.71,30.448,73.634
2026-06-05 14:25:00,GS001,Area Dasar Tambang,0.842,6.413,31.743,77.154
2026-06-05 14:30:00,GS001,Area Dasar Tambang,1.086,7.945,32.819,74.903
2026-06-05 14:35:00,GS001,Area Dasar Tambang,1.021,6.945,31.069,70.779
2026-06-05 14:40:00,GS001,Area Dasar Tambang,0.821,5.937,31.471,72.09
2026-06-05 14:45:00,GS001,Area Dasar Tambang,0.799,5.011,28.601,73.218
2026-06-05 14:50:00,GS001,Area Dasar Tambang,0.716,4.062,29.76,77.488
2026-06-05 14:55:00,GS001,Area Dasar Tambang,0.641,3.093,30.981,75.559
2026-06-05 15:00:00,GS001,Area Dasar Tambang,0.775,5.094,31.544,77.913
2026-06-05 15:05:00,GS001,Area Dasar Tambang,1.005,7.229,31.619,77.354
2026-06-05 15:10:00,GS001,Area Dasar Tambang,1.242,8.71,29.5,78.569
2026-06-05 15:15:00,GS001,Area Dasar Tambang,1.414,10.246,31.086,76.285
2026-06-05 15:20:00,GS001,Area Dasar Tambang,1.582,12.734,34.004,69.942
2026-06-05 15:25:00,GS001,Area Dasar Tambang,1.743,15.127,33.008,73.429
2026-06-05 15:30:00,GS001,Area Dasar Tambang,2.073,18.143,33.442,70.264
2026-06-05 15:35:00,GS001,Area Dasar Tambang,1.704,14.06,32.679,74.225
2026-06-05 15:40:00,GS001,Area Dasar Tambang,1.533,12.021,31.158,73.198
2026-06-05 15:45:00,GS001,Area Dasar Tambang,1.299,10.077,34.824,72.45
2026-06-05 15:50:00,GS001,Area Dasar Tambang,1.119,8.342,31.925,82.014
2026-06-05 15:55:00,GS001,Area Dasar Tambang,0.885,6.078,30.494,74.931
2026-06-05 16:00:00,GS001,Area Dasar Tambang,0.71,4.135,31.7,80.878
2026-06-05 16:05:00,GS001,Area Dasar Tambang,0.596,2.96,34.464,78.214
2026-06-05 16:10:00,GS001,Area Dasar Tambang,0.471,1.944,29.831,80.922
2026-06-05 16:15:00,GS001,Area Dasar Tambang,0.685,4.02,31.121,79.253
2026-06-05 16:20:00,GS001,Area Dasar Tambang,0.966,6.699,31.783,77.827
2026-06-05 16:25:00,GS001,Area Dasar Tambang,1.317,9.676,32.764,72.768
2026-06-05 16:30:00,GS001,Area Dasar Tambang,1.567,12.509,33.981,75.875
2026-06-05 16:35:00,GS001,Area Dasar Tambang,1.946,16.798,36.379,68.009
2026-06-05 16:40:00,GS001,Area Dasar Tambang,2.135,19.507,31.877,68.897
2026-06-05 16:45:00,GS001,Area Dasar Tambang,2.47,22.832,33.848,71.147
2026-06-05 16:50:00,GS001,Area Dasar Tambang,2.14,18.366,33.796,70.925
2026-06-05 16:55:00,GS001,Area Dasar Tambang,1.953,14.131,30.171,70.073
2026-06-05 17:00:00,GS001,Area Dasar Tambang,1.303,10.007,32.043,72.613
2026-06-05 17:05:00,GS001,Area Dasar Tambang,1.08,7.154,32.724,72.207
2026-06-05 17:10:00,GS001,Area Dasar Tambang,0.76,5.007,31.718,70.357
2026-06-05 17:15:00,GS001,Area Dasar Tambang,0.393,2.001,30.535,75.462
2026-06-05 17:20:00,GS001,Area Dasar Tambang,0.478,2.979,31.113,78.863
2026-06-05 17:25:00,GS001,Area Dasar Tambang,0.743,3.953,30.631,78.348
2026-06-05 17:30:00,GS001,Area Dasar Tambang,0.924,5.896,32.393,78.978
2026-06-05 17:35:00,GS001,Area Dasar Tambang,1.157,8.569,30.505,75.042
2026-06-05 17:40:00,GS001,Area Dasar Tambang,1.0,6.973,30.682,70.543
2026-06-05 17:45:00,GS001,Area Dasar Tambang,0.904,5.816,31.508,73.586
2026-06-05 17:50:00,GS001,Area Dasar Tambang,0.756,5.047,31.489,77.761
2026-06-05 17:55:00,GS001,Area Dasar Tambang,0.787,4.044,31.805,73.681
2026-06-05 18:00:00,GS001,Area Dasar Tambang,0.549,3.19,29.951,73.785
2026-06-05 18:05:00,GS001,Area Dasar Tambang,0.798,4.982,30.17,75.073
2026-06-05 18:10:00,GS001,Area Dasar Tambang,1.049,6.774,29.744,77.828
2026-06-05 18:15:00,GS001,Area Dasar Tambang,1.224,8.777,29.787,71.796
2026-06-05 18:20:00,GS001,Area Dasar Tambang,1.397,11.513,30.673,73.75
2026-06-05 18:25:00,GS001,Area Dasar Tambang,1.643,11.762,33.532,69.547
2026-06-05 18:30:00,GS001,Area Dasar Tambang,1.824,15.148,33.91,73.587
2026-06-05 18:35:00,GS001,Area Dasar Tambang,1.81,17.435,32.981,70.446
2026-06-05 18:40:00,GS001,Area Dasar Tambang,1.732,14.442,33.189,71.383
2026-06-05 18:45:00,GS001,Area Dasar Tambang,1.389,11.781,32.736,69.816
2026-06-05 18:50:00,GS001,Area Dasar Tambang,1.333,10.363,32.162,64.931
2026-06-05 18:55:00,GS001,Area Dasar Tambang,1.044,8.604,31.105,69.048
2026-06-05 19:00:00,GS001,Area Dasar Tambang,0.949,6.003,32.892,76.842
2026-06-05 19:05:00,GS001,Area Dasar Tambang,0.718,4.058,32.173,84.014
2026-06-05 19:10:00,GS001,Area Dasar Tambang,0.639,2.81,31.656,80.516
2026-06-05 19:15:00,GS001,Area Dasar Tambang,0.548,1.966,32.445,80.895
2026-06-05 19:20:00,GS001,Area Dasar Tambang,0.803,3.88,30.567,76.057
2026-06-05 19:25:00,GS001,Area Dasar Tambang,0.98,6.751,28.019,74.679
2026-06-05 19:30:00,GS001,Area Dasar Tambang,1.319,9.803,34.37,75.04
2026-06-05 19:35:00,GS001,Area Dasar Tambang,1.683,13.136,33.368,74.827
2026-06-05 19:40:00,GS001,Area Dasar Tambang,2.004,16.036,33.349,74.07
2026-06-05 19:45:00,GS001,Area Dasar Tambang,2.175,20.324,35.949,71.221
2026-06-05 19:50:00,GS001,Area Dasar Tambang,2.542,25.207,34.923,71.033
2026-06-05 19:55:00,GS001,Area Dasar Tambang,1.9,18.372,30.07,76.233
2026-06-05 20:00:00,GS001,Area Dasar Tambang,1.812,14.56,31.424,68.467
2026-06-05 20:05:00,GS001,Area Dasar Tambang,1.415,9.987,31.567,74.251
2026-06-05 20:10:00,GS001,Area Dasar Tambang,1.111,7.234,33.135,77.532
2026-06-05 20:15:00,GS001,Area Dasar Tambang,0.859,4.962,28.911,75.427
2026-06-05 20:20:00,GS001,Area Dasar Tambang,0.432,1.922,30.583,75.842
2026-06-05 20:25:00,GS001,Area Dasar Tambang,0.56,3.09,31.808,78.915
2026-06-05 20:30:00,GS001,Area Dasar Tambang,0.699,4.032,29.721,70.266
2026-06-05 20:35:00,GS001,Area Dasar Tambang,0.906,6.078,32.919,80.777
2026-06-05 20:40:00,GS001,Area Dasar Tambang,1.169,7.681,31.155,76.441
2026-06-05 20:45:00,GS001,Area Dasar Tambang,1.101,7.414,32.91,73.837
2026-06-05 20:50:00,GS001,Area Dasar Tambang,0.865,6.189,30.018,75.275
2026-06-05 20:55:00,GS001,Area Dasar Tambang,0.795,5.319,30.856,68.585
2026-06-05 21:00:00,GS001,Area Dasar Tambang,0.72,3.888,31.253,76.733
2026-06-05 21:05:00,GS001,Area Dasar Tambang,0.589,3.095,29.193,75.408
2026-06-05 21:10:00,GS001,Area Dasar Tambang,0.827,4.877,29.286,78.032
2026-06-05 21:15:00,GS001,Area Dasar Tambang,1.045,6.987,29.029,77.118
2026-06-05 21:20:00,GS001,Area Dasar Tambang,1.12,9.111,30.671,70.567
2026-06-05 21:25:00,GS001,Area Dasar Tambang,1.375,10.919,31.175,75.743
2026-06-05 21:30:00,GS001,Area Dasar Tambang,1.571,13.51,32.562,70.963
2026-06-05 21:35:00,GS001,Area Dasar Tambang,1.738,14.012,32.878,70.979
2026-06-05 21:40:00,GS001,Area Dasar Tambang,1.81,17.614,31.618,75.475
2026-06-05 21:45:00,GS001,Area Dasar Tambang,1.584,13.193,33.839,75.907
2026-06-05 21:50:00,GS001,Area Dasar Tambang,1.455,11.697,32.994,66.205
2026-06-05 21:55:00,GS001,Area Dasar Tambang,1.203,9.888,33.984,72.71
2026-06-05 22:00:00,GS001,Area Dasar Tambang,1.104,8.363,34.48,73.269
2026-06-05 22:05:00,GS001,Area Dasar Tambang,0.899,6.437,29.582,79.124
2026-06-05 22:10:00,GS001,Area Dasar Tambang,0.659,4.016,30.996,74.049
2026-06-05 22:15:00,GS001,Area Dasar Tambang,0.561,3.033,32.338,76.6
2026-06-05 22:20:00,GS001,Area Dasar Tambang,0.503,2.046,29.795,80.308
2026-06-05 22:25:00,GS001,Area Dasar Tambang,0.733,4.417,30.731,75.589
2026-06-05 22:30:00,GS001,Area Dasar Tambang,1.031,7.229,30.826,74.774
2026-06-05 22:35:00,GS001,Area Dasar Tambang,1.328,9.669,31.376,75.269
2026-06-05 22:40:00,GS001,Area Dasar Tambang,1.664,12.686,29.92,68.327
2026-06-05 22:45:00,GS001,Area Dasar Tambang,1.804,15.16,32.498,69.528
2026-06-05 22:50:00,GS001,Area Dasar Tambang,2.138,19.381,32.419,75.809
2026-06-05 22:55:00,GS001,Area Dasar Tambang,2.566,24.015,32.784,69.77
2026-06-05 23:00:00,GS001,Area Dasar Tambang,2.128,18.421,31.802,72.105
2026-06-05 23:05:00,GS001,Area Dasar Tambang,1.654,14.119,33.594,72.182
2026-06-05 23:10:00,GS001,Area Dasar Tambang,1.502,9.648,32.48,73.894
2026-06-05 23:15:00,GS001,Area Dasar Tambang,0.996,6.968,31.936,77.544
2026-06-05 23:20:00,GS001,Area Dasar Tambang,0.855,5.0,32.527,73.867
2026-06-05 23:25:00,GS001,Area Dasar Tambang,0.431,1.939,32.144,84.897
2026-06-05 23:30:00,GS001,Area Dasar Tambang,0.495,2.737,30.32,80.794
2026-06-05 23:35:00,GS001,Area Dasar Tambang,0.722,4.04,32.459,78.492
2026-06-05 23:40:00,GS001,Area Dasar Tambang,0.949,6.221,33.311,77.091
2026-06-05 23:45:00,GS001,Area Dasar Tambang,1.14,7.902,30.84,80.12
2026-06-05 23:50:00,GS001,Area Dasar Tambang,1.009,7.225,31.656,73.24
2026-06-05 23:55:00,GS001,Area Dasar Tambang,0.9,6.345,32.097,70.797
2026-06-06 00:00:00,GS001,Area Dasar Tambang,0.791,5.356,31.032,70.527
2026-06-06 00:05:00,GS001,Area Dasar Tambang,0.776,4.109,31.113,75.856
2026-06-06 00:10:00,GS001,Area Dasar Tambang,0.643,2.935,32.528,78.67
2026-06-06 00:15:00,GS001,Area Dasar Tambang,0.81,5.029,31.081,79.179
2026-06-06 00:20:00,GS001,Area Dasar Tambang,0.965,6.546,32.274,76.894
2026-06-06 00:25:00,GS001,Area Dasar Tambang,1.223,9.147,31.392,76.331
2026-06-06 00:30:00,GS001,Area Dasar Tambang,1.397,10.786,31.601,79.981
2026-06-06 00:35:00,GS001,Area Dasar Tambang,1.489,13.26,30.037,72.684
2026-06-06 00:40:00,GS001,Area Dasar Tambang,1.769,13.749,33.006,70.905
2026-06-06 00:45:00,GS001,Area Dasar Tambang,1.832,18.604,34.683,75.232
2026-06-06 00:50:00,GS001,Area Dasar Tambang,1.724,14.026,34.121,76.845
2026-06-06 00:55:00,GS001,Area Dasar Tambang,1.568,11.548,32.459,74.283
2026-06-06 01:00:00,GS001,Area Dasar Tambang,1.206,10.188,34.909,75.894
2026-06-06 01:05:00,GS001,Area Dasar Tambang,1.165,8.059,31.707,76.144
2026-06-06 01:10:00,GS001,Area Dasar Tambang,0.867,5.769,33.096,80.172
2026-06-06 01:15:00,GS001,Area Dasar Tambang,0.66,4.155,31.191,78.047
2026-06-06 01:20:00,GS001,Area Dasar Tambang,0.618,3.119,31.203,81.343
2026-06-06 01:25:00,GS001,Area Dasar Tambang,0.512,2.05,29.967,84.735
2026-06-06 01:30:00,GS001,Area Dasar Tambang,0.719,4.114,29.193,74.466
2026-06-06 01:35:00,GS001,Area Dasar Tambang,1.05,7.08,29.089,79.156
2026-06-06 01:40:00,GS001,Area Dasar Tambang,1.272,10.565,31.788,75.614
2026-06-06 01:45:00,GS001,Area Dasar Tambang,1.675,12.533,31.017,73.418
2026-06-06 01:50:00,GS001,Area Dasar Tambang,1.963,15.148,30.518,75.405
2026-06-06 01:55:00,GS001,Area Dasar Tambang,2.147,19.686,30.549,70.045
2026-06-06 02:00:00,GS001,Area Dasar Tambang,2.499,24.893,32.37,75.707
2026-06-06 02:05:00,GS001,Area Dasar Tambang,2.042,17.508,35.029,72.609
2026-06-06 02:10:00,GS001,Area Dasar Tambang,1.76,13.913,34.364,77.281
2026-06-06 02:15:00,GS001,Area Dasar Tambang,1.354,9.983,32.316,71.081
2026-06-06 02:20:00,GS001,Area Dasar Tambang,0.998,7.001,33.25,78.622
2026-06-06 02:25:00,GS001,Area Dasar Tambang,0.787,4.957,32.337,74.221
2026-06-06 02:30:00,GS001,Area Dasar Tambang,0.424,1.993,29.606,75.015
2026-06-06 02:35:00,GS001,Area Dasar Tambang,0.558,2.981,33.034,75.418
2026-06-06 02:40:00,GS001,Area Dasar Tambang,0.712,4.383,29.88,71.155
2026-06-06 02:45:00,GS001,Area Dasar Tambang,0.951,5.802,31.374,74.219
2026-06-06 02:50:00,GS001,Area Dasar Tambang,1.112,7.696,31.373,76.349
2026-06-06 02:55:00,GS001,Area Dasar Tambang,0.96,6.804,31.062,70.714
2026-06-06 03:00:00,GS001,Area Dasar Tambang,0.883,6.029,30.898,75.175
2026-06-06 03:05:00,GS001,Area Dasar Tambang,0.799,4.869,32.165,80.365
2026-06-06 03:10:00,GS001,Area Dasar Tambang,0.681,4.078,30.901,78.126
2026-06-06 03:15:00,GS001,Area Dasar Tambang,0.663,3.061,28.894,78.398
2026-06-06 03:20:00,GS001,Area Dasar Tambang,0.849,4.956,32.547,73.902
2026-06-06 03:25:00,GS001,Area Dasar Tambang,0.941,7.04,29.287,74.281
2026-06-06 03:30:00,GS001,Area Dasar Tambang,1.262,8.312,30.172,70.945
2026-06-06 03:35:00,GS001,Area Dasar Tambang,1.396,10.839,33.791,76.825
2026-06-06 03:40:00,GS001,Area Dasar Tambang,1.632,13.076,32.706,70.483
2026-06-06 03:45:00,GS001,Area Dasar Tambang,1.862,14.333,33.586,75.416
2026-06-06 03:50:00,GS001,Area Dasar Tambang,2.017,17.873,33.325,62.873
2026-06-06 03:55:00,GS001,Area Dasar Tambang,1.721,13.937,32.334,74.035
2026-06-06 04:00:00,GS001,Area Dasar Tambang,1.496,11.453,32.018,73.197
2026-06-06 04:05:00,GS001,Area Dasar Tambang,1.306,10.065,33.33,70.785
2026-06-06 04:10:00,GS001,Area Dasar Tambang,1.108,8.413,29.594,75.539
2026-06-06 04:15:00,GS001,Area Dasar Tambang,0.877,5.911,30.36,75.485
2026-06-06 04:20:00,GS001,Area Dasar Tambang,0.774,3.798,29.836,72.99
2026-06-06 04:25:00,GS001,Area Dasar Tambang,0.669,2.945,31.068,75.759
2026-06-06 04:30:00,GS001,Area Dasar Tambang,0.462,1.981,34.048,82.343
2026-06-06 04:35:00,GS001,Area Dasar Tambang,0.666,4.104,30.162,71.529
2026-06-06 04:40:00,GS001,Area Dasar Tambang,1.041,7.325,32.818,74.572
2026-06-06 04:45:00,GS001,Area Dasar Tambang,1.291,10.3,32.4,73.819
2026-06-06 04:50:00,GS001,Area Dasar Tambang,1.496,13.059,33.694,70.455
2026-06-06 04:55:00,GS001,Area Dasar Tambang,1.949,16.212,33.681,75.546
2026-06-06 05:00:00,GS001,Area Dasar Tambang,2.139,18.706,32.296,74.561
2026-06-06 05:05:00,GS001,Area Dasar Tambang,2.446,23.334,30.967,75.978
2026-06-06 05:10:00,GS001,Area Dasar Tambang,2.169,18.554,34.277,73.661
2026-06-06 05:15:00,GS001,Area Dasar Tambang,1.782,13.908,32.042,80.693
2026-06-06 05:20:00,GS001,Area Dasar Tambang,1.431,9.814,32.8,71.008
2026-06-06 05:25:00,GS001,Area Dasar Tambang,1.06,6.815,32.437,78.198
2026-06-06 05:30:00,GS001,Area Dasar Tambang,0.815,5.019,31.514,75.828
2026-06-06 05:35:00,GS001,Area Dasar Tambang,0.377,1.964,32.623,77.661
2026-06-06 05:40:00,GS001,Area Dasar Tambang,0.469,2.938,32.364,79.081
2026-06-06 05:45:00,GS001,Area Dasar Tambang,0.722,3.959,31.916,75.018
2026-06-06 05:50:00,GS001,Area Dasar Tambang,0.89,6.233,32.498,73.015
2026-06-06 05:55:00,GS001,Area Dasar Tambang,1.062,8.035,33.782,69.253
2026-06-06 06:00:00,GS001,Area Dasar Tambang,1.011,6.615,30.701,73.907
2026-06-06 06:05:00,GS001,Area Dasar Tambang,0.883,5.872,31.409,74.373
2026-06-06 06:10:00,GS001,Area Dasar Tambang,0.742,5.156,32.243,78.563
2026-06-06 06:15:00,GS001,Area Dasar Tambang,0.638,4.048,32.044,73.824
2026-06-06 06:20:00,GS001,Area Dasar Tambang,0.6,2.986,33.392,82.927
2026-06-06 06:25:00,GS001,Area Dasar Tambang,0.733,5.499,30.154,78.981
2026-06-06 06:30:00,GS001,Area Dasar Tambang,1.039,6.721,32.122,74.677
2026-06-06 06:35:00,GS001,Area Dasar Tambang,1.227,9.083,33.322,74.223
2026-06-06 06:40:00,GS001,Area Dasar Tambang,1.391,11.482,32.743,76.166
2026-06-06 06:45:00,GS001,Area Dasar Tambang,1.557,12.456,31.469,71.187
2026-06-06 06:50:00,GS001,Area Dasar Tambang,1.857,15.586,32.298,76.121
2026-06-06 06:55:00,GS001,Area Dasar Tambang,2.109,18.175,31.722,75.474
2026-06-06 07:00:00,GS001,Area Dasar Tambang,1.696,14.071,31.96,69.437
2026-06-06 07:05:00,GS001,Area Dasar Tambang,1.412,12.304,31.191,81.934
2026-06-06 07:10:00,GS001,Area Dasar Tambang,1.244,9.497,32.653,78.527
2026-06-06 07:15:00,GS001,Area Dasar Tambang,1.103,8.183,29.455,72.967
2026-06-06 07:20:00,GS001,Area Dasar Tambang,0.857,5.545,31.647,69.182
2026-06-06 07:25:00,GS001,Area Dasar Tambang,0.647,3.914,30.259,78.221
2026-06-06 07:30:00,GS001,Area Dasar Tambang,0.612,3.107,32.036,80.514
2026-06-06 07:35:00,GS001,Area Dasar Tambang,0.5,2.024,31.634,78.442
2026-06-06 07:40:00,GS001,Area Dasar Tambang,0.684,3.947,30.18,78.299
2026-06-06 07:45:00,GS001,Area Dasar Tambang,0.996,6.814,30.666,72.32
2026-06-06 07:50:00,GS001,Area Dasar Tambang,1.351,10.031,30.799,77.426
2026-06-06 07:55:00,GS001,Area Dasar Tambang,1.564,12.269,33.619,72.41
2026-06-06 08:00:00,GS001,Area Dasar Tambang,1.869,16.026,34.195,73.059
2026-06-06 08:05:00,GS001,Area Dasar Tambang,2.094,20.435,32.36,77.437
2026-06-06 08:10:00,GS001,Area Dasar Tambang,2.5,21.854,33.877,76.523
2026-06-06 08:15:00,GS001,Area Dasar Tambang,2.232,19.318,31.654,74.627
2026-06-06 08:20:00,GS001,Area Dasar Tambang,1.748,14.126,30.94,71.118
2026-06-06 08:25:00,GS001,Area Dasar Tambang,1.362,10.359,33.231,74.819
2026-06-06 08:30:00,GS001,Area Dasar Tambang,0.946,6.913,30.851,77.609
2026-06-06 08:35:00,GS001,Area Dasar Tambang,0.847,5.211,30.548,67.672
2026-06-06 08:40:00,GS001,Area Dasar Tambang,0.329,2.114,30.306,75.658
2026-06-06 08:45:00,GS001,Area Dasar Tambang,0.566,3.152,31.03,76.096
2026-06-06 08:50:00,GS001,Area Dasar Tambang,0.695,4.036,33.197,78.301
2026-06-06 08:55:00,GS001,Area Dasar Tambang,0.929,6.281,29.931,78.295
2026-06-06 09:00:00,GS001,Area Dasar Tambang,1.087,7.195,28.91,71.946
2026-06-06 09:05:00,GS001,Area Dasar Tambang,1.021,7.032,31.732,80.853
2026-06-06 09:10:00,GS001,Area Dasar Tambang,0.849,5.993,31.782,73.762
2026-06-06 09:15:00,GS001,Area Dasar Tambang,0.801,4.68,33.065,73.928
2026-06-06 09:20:00,GS001,Area Dasar Tambang,0.781,3.995,32.483,76.836
2026-06-06 09:25:00,GS001,Area Dasar Tambang,0.599,2.93,31.248,77.979
2026-06-06 09:30:00,GS001,Area Dasar Tambang,0.769,4.975,30.536,82.991
2026-06-06 09:35:00,GS001,Area Dasar Tambang,0.996,7.433,31.254,75.778
2026-06-06 09:40:00,GS001,Area Dasar Tambang,1.137,8.839,32.068,78.695
2026-06-06 09:45:00,GS001,Area Dasar Tambang,1.412,11.609,32.82,78.817
2026-06-06 09:50:00,GS001,Area Dasar Tambang,1.596,14.243,31.575,70.762
2026-06-06 09:55:00,GS001,Area Dasar Tambang,1.713,16.399,33.565,71.038
2026-06-06 10:00:00,GS001,Area Dasar Tambang,2.1,18.495,35.38,66.604
2026-06-06 10:05:00,GS001,Area Dasar Tambang,1.682,13.741,29.842,75.054
2026-06-06 10:10:00,GS001,Area Dasar Tambang,1.484,12.355,35.239,71.969
2026-06-06 10:15:00,GS001,Area Dasar Tambang,1.278,10.047,33.264,72.323
